,movie_id,name,first_score,last_score,genre
3094,30332098,Universal Soldiers,0.6187,-0.7579,Action
1831,8630242,Stamp Day for Superman,-0.5948,-0.5948,Action
1354,5662308,Kill Me Later,-0.5423,-0.8126,Action
2795,213246,Alien: Resurrection,-0.4215,-0.1027,Action
608,20476331,Gathering of Heroes: Legend of the Seven Swords,-0.6597,-0.3559,Action
2262,3948455,Universal Soldier,0.4019,-0.6908,Action
921,22892795,Prison Break: The Final Break,-0.0258,0.5106,Action
871,24542564,Om,0.6369,-0.7964,Action
3038,13075853,Kabzaa,-0.4767,0.4019,Action
1150,32079759,Blue,0.2023,0.0772,Action
301,770098,Steamboy,0.4215,-0.2732,Action
3159,11107075,Bats,-0.743,-0.4939,Action
658,31417999,Henry's Crime,-0.5801,-0.296,Action
1374,12540084,Northwest Mounted Police,-0.128,0.6486,Action
1809,10815398,Buddha Assassinator,-0.5859,0.5187,Action
2807,30345613,Osey Ramulamma,-0.6808,-0.3818,Action
2065,8279606,The Black Widow,-0.7845,-0.4939,Action
2152,2294895,The Border,0.4215,-0.4588,Action
3009,33002536,Ilaaka,-0.5719,0.1779,Action
2166,10723448,The Dawns Here Are Quiet,-0.5994,-0.5994,Action
3086,2071706,Robin and Marian,0.1531,-0.4215,Action
958,8908857,The Undefeatable,-0.4019,-0.802,Action
2063,1749996,Forklift Driver Klaus - The First Day on the Job,0.4215,-0.4019,Action
1780,36422528,Nick Carter va tout casser,-0.296,0.743,Action
282,2352505,Bones,0.8779,0.3612,Action
1961,314406,Bring Me the Head of Alfredo Garcia,0.0516,-0.1901,Action
1270,29836847,The Night the Bridge Fell Down,-0.7717,-0.0258,Action
3172,4867662,Atomic Twister,-0.5106,-0.8591,Action
1283,4759392,Killer Tattoo,-0.2732,-0.3976,Action
1447,5526916,Naked Weapon,-0.5994,0.3182,Action
2725,19844332,The Hunting Party,0.4404,0.3612,Action
42,28252120,Down Twisted,-0.4404,0.4019,Action
2260,25493367,Antham,-0.5574,0.2263,Action
