,movie_id,name,first_score,last_score,genre
1077,24789475,Steele Justice,-0.765,0.3818,Action
1844,1731114,Smokey and the Bandit Part 3,0.3182,0.5719,Action
2971,665867,Police Story,-0.7096,0.8151,Action
1109,6339198,Hot Boyz,0.9169,0.8402,Action
336,6169082,Cop and a Half,0.4019,-0.2263,Action
2783,9016141,Dead or Alive 2: Birds,-0.296,-0.8402,Action
161,17610036,Bombs Over Burma,-0.6369,-0.5719,Action
319,26742680,Sharja To Sharja,-0.7845,-0.34,Action
2243,31510651,The Great Smokey Roadblock,0.3818,0.5574,Action
573,18791512,Martial Law 2: Undercover,-0.8625,-0.3818,Action
829,29034986,The Devil's Double,-0.7506,-0.5719,Action
2803,786972,Casshern,-0.5994,0.5267,Action
1176,15804268,Final Approach,-0.6597,0.6249,Action
1248,1271405,Lust in the Dust,0.128,-0.128,Action
1965,12437827,Case Closed: The Fourteenth Target,0.25,0.2023,Action
1994,316092,The Score,-0.3818,0.8957,Action
831,12807520,The Stone Killer,-0.4404,-0.7003,Action
1607,5169996,The Man in the Iron Mask,-0.5574,0.6369,Action
604,15288104,Embryo,0.7579,-0.7579,Action
454,156644,Die Another Day,-0.4939,-0.296,Action
431,30033566,Jeevan Ki Shatranj,-0.6705,-0.6705,Action
918,23207948,Ondanondu Kaladalli,-0.5423,-0.4767,Action
2340,5812638,Midnight Run for Your Life,-0.5106,0.5574,Action
520,7541639,The Heavy,-0.5859,0.2846,Action
2646,2485103,Vice Squad,-0.3612,-0.4215,Action
219,5153086,Hell Below,0.8126,-0.5267,Action
2234,19032190,Red Tails,-0.6486,0.7096,Action
2609,9230965,The Bullfighter and the Lady,0.7717,0.1027,Action
2039,1071647,Something Wild,0.7003,-0.5994,Action
1142,27067663,Kuch Tum Kaho Kuch Hum Kahein,-0.128,-0.743,Action
482,9111772,Kanthaswamy,0.3182,0.3612,Action
1875,28010622,Lady Killer,0.4404,-0.2732,Action
2752,26224240,Cell 211,0.128,-0.5106,Action
2857,29165410,This Means War,-0.8519,-0.4215,Action
2767,1275719,Vampire Hunter D: Bloodlust,-0.1154,0.836,Action
1529,10988446,Treasure Hunters,-0.4939,0.4019,Action
496,68079,The African Queen,-0.3612,0.4215,Action
55,5241676,Steel Dawn,-0.5994,-0.25,Action
687,14686017,Downtown,0.5859,-0.8555,Action
1709,4644031,Nick Fury: Agent of Shield,-0.9169,-0.6908,Action
1431,19537146,Mr Funtoosh,-0.2263,0.8172,Action
2598,3878318,Arahan,-0.9423,-0.0516,Action
1077,24789475,Steele Justice,-0.765,0.3818,Action
2749,1082656,Superman Returns,-0.296,0.4215,Action
207,18104083,Blue,0.296,0.9022,Action
1665,77609,Sergeant York,-0.1531,-0.5994,Action
1257,19939214,Kenny Begins,0.079,-0.2944,Action
1872,35521201,The Courier,-0.5719,-0.4767,Action
661,32910716,The Arrogant,0.7506,0.3612,Action
163,1646358,Godzilla vs. Megaguirus,-0.296,-0.6124,Action
769,10135564,Out of the Darkness,-0.3818,-0.6597,Action
19,8204853,Big Nothing,-0.9287,-0.4404,Action
229,20426846,The King of the Mountain,-0.3182,0.7184,Action
1422,27277059,Empires of the Deep,0.8957,0.8957,Action
2831,6071715,Shadowboxer,-0.2263,-0.4939,Action
2042,24586901,Knight and Day,0.34,-0.6249,Action
1185,2558435,Skin Game,-0.4588,0.4404,Action
1510,6981094,War Hunt,-0.5994,0.2732,Action
2616,4402116,Fatal Fury: Legend of the Hungry Wolf,-0.6908,-0.3818,Action
2729,14299402,The Blade Spares None,0.2732,-0.5859,Action
323,32784153,Welcome to the Punch,-0.7579,-0.3818,Action
495,4519654,Salakhain,0.9062,-0.6705,Action
973,32537784,Shagird,-0.4767,0.2023,Action
845,26803725,Bhai,-0.7506,0.5719,Action
2081,32013798,Main Aur Mera Haathi,0.4767,0.4767,Action
715,13378321,Reform School Girls,-0.5106,0.6115,Action
729,7677914,Best of the Best 4: Without Warning,-0.2263,-0.6808,Action
2031,25990872,1st to Die,-0.6486,-0.5574,Action
1709,4644031,Nick Fury: Agent of Shield,-0.9169,-0.6908,Action
2764,34333356,A Day of One Hero,-0.6249,-0.6249,Action
1782,12289886,The Mountain,-0.8555,0.6908,Action
364,8102911,Ayya,-0.6705,-0.9562,Action
38,16345566,Evolusi KL Drift,0.8074,-0.0258,Action
3029,21629628,Chandiya,-0.8074,-0.5574,Action
218,31046582,Love and Action in Chicago,-0.6124,0.8126,Action
2729,14299402,The Blade Spares None,0.2732,-0.5859,Action
653,23691191,Twilight in the Sierras,-0.3612,0.5106,Action
3166,8269287,Forced Vengeance,0.6369,0.25,Action
514,33610926,A Chinese Ghost Story II,-0.5859,-0.0516,Action
1025,2430462,No Escape,-0.3818,0.128,Action
2673,4600711,Goddess of Mercy,0.6124,-0.296,Action
1353,1625624,Year of the Dragon,-0.8316,-0.2665,Action
2884,10778392,Shaolin Daredevils,0.1779,-0.4767,Action
1307,19165774,The Wreck of the Mary Deare,0.0258,0.0258,Action
2831,6071715,Shadowboxer,-0.2263,-0.4939,Action
1278,5157752,Annavaram,0.296,0.5719,Action
2809,24550060,Roudram,0.1531,-0.5106,Action
3053,31156641,Nariman,-0.7269,-0.7269,Action
713,34831339,Beyond the Border,-0.5106,-0.6705,Action
2716,28703923,Kung Fu Mama – Agentin mit Kids,0.1567,0.7096,Action
1230,23149191,Ground Control,-0.7717,0.25,Action
730,264103,Hols: Prince of the Sun,-0.6124,0.6908,Action
2962,14770549,My Dear Kuttichathan,-0.4019,0.2732,Action
3029,21629628,Chandiya,-0.8074,-0.5574,Action
2357,16839388,Cars 2,0.3612,0.3612,Action
1238,16338862,Count Five and Die,0.2023,-0.2023,Action
2094,3557065,Seraphim Falls,-0.34,-0.7579,Action
1044,35542282,Raiders of the Lost Ark: The Adaptation,0.4939,0.4939,Action
33,2762659,No Good Deed,0.3612,-0.34,Action
1134,1958425,Red Eye,-0.3612,-0.34,Action
1108,27371970,Ilaignan,-0.5859,-0.5859,Action
861,1745296,XXX: State of the Union / XXX: The Next Level,-0.8689,0.5719,Action
2518,18778495,Omega Cop,-0.296,-0.2263,Action
1973,16799338,Mother Lode,0.5719,-0.8779,Action
3156,35557785,Nazis at the Center of the Earth,-0.5423,0.5106,Action
1875,28010622,Lady Killer,0.4404,-0.2732,Action
704,17657295,Macon County Line,0.3612,-0.9862,Action
3143,30448394,Elephant White,-0.6597,0.6124,Action
1402,19162701,Tokyo Gore Police,-0.4939,0.7783,Action
1301,28344566,How Sleep the Brave,-0.3818,0.0387,Action
439,6209219,Covert One: The Hades Factor,-0.296,-0.2732,Action
1798,24652213,The Lost Continent,-0.3182,-0.6908,Action
1222,33308146,War Games: At the End of the Day,0.7351,-0.8591,Action
329,36057879,Subash,0.5106,-0.4939,Action
1136,6629405,Stray Dog: Kerberos Panzer Cops,0.5423,-0.296,Action
790,23276045,Barumbado,-0.8945,-0.8945,Action
3025,31391884,Tales of an Ancient Empire,-0.5106,-0.296,Action
3232,29294207,The Sitter,-0.4767,0.3612,Action
376,4944618,Queen of the Amazons,0.34,-0.2732,Action
3151,16171195,"Think Fast, Mr. Moto",-0.3182,-0.4767,Action
1746,26541,Repo Man,-0.7096,-0.3818,Action
2362,612052,Spider-Man 2,-0.3612,0.5423,Action
1215,25222645,Street Law,-0.8934,-0.7184,Action
1979,2066600,Coffy,-0.8176,0.4215,Action
769,10135564,Out of the Darkness,-0.3818,-0.6597,Action
3007,17475562,Gaja,0.4767,0.2732,Action
1183,13734892,G.I. Joe: The Rise of Cobra,-0.6249,-0.3182,Action
36,1138873,Come and Get It,-0.4939,0.6124,Action
434,2101749,Steel,-0.0258,-0.6705,Action
1126,8100298,A Battle of Wits,-0.4404,-0.6705,Action
2007,8061503,Rogues of Sherwood Forest,-0.9001,-0.296,Action
1509,7291822,Killer Flick,-0.34,-0.5994,Action
1091,1982322,H.G. Wells' War of the Worlds,0.5719,-0.6705,Action
2771,1720749,Angel Blade,-0.296,0.7351,Action
982,1464962,The Osterman Weekend,0.6369,-0.5423,Action
2834,5638049,Braddock: Missing in Action III,-0.783,0.4019,Action
1743,877220,The Crow: City of Angels,-0.8689,-0.1027,Action
2938,7890513,Badri,0.2263,0.6369,Action
747,8703922,Paloh,0.1027,0.296,Action
741,7280584,Enter the Game of Death,-0.8402,-0.3182,Action
1556,1767747,Dragon Ball Z: Bojack Unbound,-0.5574,0.1531,Action
1717,4619034,New Fist of Fury,0.1779,-0.3818,Action
1504,2056466,The Animal,0.6369,0.5994,Action
2774,1543289,Foxy Brown,-0.5267,-0.8519,Action
3192,13273342,Underworld U.S.A.,-0.5994,-0.4588,Action
2912,3760059,Sword in the Moon,-0.5994,0.4404,Action
1931,1124048,Taxi 2,0.1027,0.4939,Action
310,16788011,Graduation,0.4767,0.4767,Action
2834,5638049,Braddock: Missing in Action III,-0.783,0.4019,Action
43,25740208,Kabaddi,-0.4019,0.4404,Action
2015,3822078,"Love, Honour and Obey",-0.3818,-0.9081,Action
1168,28031209,Le choc,-0.2263,0.6369,Action
686,6690496,She Gods of Shark Reef,-0.8885,-0.8922,Action
1630,26284611,The Stranglers of Bombay,0.631,0.4019,Action
2694,10934134,Blazing Temple,-0.5574,0.1027,Action
1258,4138142,The League of Extraordinary Gentlemen,-0.743,-0.6249,Action
325,25389799,Love and a Bullet,-0.5686,-0.25,Action
2001,23435112,Inside Detroit,0.4215,0.7003,Action
2780,2149056,Sphadikam,0.7845,-0.8861,Action
1908,12323478,The Weathered Underground,-0.024,0.4951,Action
2372,9595260,The King of the Kongo,-0.296,-0.3612,Action
1140,13578403,Hatya,0.1901,0.883,Action
2123,18458655,A Man Called Hero,0.7964,0.5267,Action
3007,17475562,Gaja,0.4767,0.2732,Action
1818,34311479,Final Reprisal,0.8126,-0.3818,Action
1589,22275671,Drums Across the River,0.4939,-0.6249,Action
2811,24426132,More Dead Than Alive,-0.8834,-0.8225,Action
70,29498265,Vallakottai,0.296,-0.5106,Action
2058,1343178,The Alamo,-0.3818,0.3365,Action
995,11892833,Keemat: They Are Back,-0.9042,0.4767,Action
899,406339,The Crow,-0.93,0.7351,Action
1540,5235481,The Phantom,-0.9062,0.0857,Action
2364,26106991,Born to Fight,-0.8807,0.09,Action
179,24491249,Mistrial,-0.5673,0.6124,Action
332,21419791,Huracán Ramírez,0.1779,-0.8807,Action
1196,10640635,Mad Monkey Kung Fu,-0.8519,-0.6956,Action
1927,8637627,Full Metal Yakuza,-0.802,-0.2732,Action
2373,5083422,Battle in Outer Space,-0.6486,-0.1779,Action
654,1967834,Stop! Or My Mom Will Shoot!,-0.128,-0.7506,Action
418,2621073,Willie Dynamite,0.5859,0.7579,Action
842,181601,The Edge,0.5994,-0.128,Action
166,25081004,One Spy Too Many,-0.7096,-0.8126,Action
1178,933321,Kelly's Heroes,-0.7906,0.1531,Action
1142,27067663,Kuch Tum Kaho Kuch Hum Kahein,-0.128,-0.743,Action
1214,23758269,1921,0.3804,0.25,Action
990,8398222,Gods and Generals,-0.7717,-0.3818,Action
1323,33252039,Loot,-0.5719,-0.3612,Action
3060,25090637,Bulldog Drummond's Peril,-0.7096,0.6059,Action
2958,18851588,Divergence,-0.6908,-0.6908,Action
811,25464794,Rakshasudu,-0.1779,-0.5267,Action
1069,34985252,Derelict,-0.5574,0.4767,Action
2251,7523896,The World in His Arms,-0.1779,0.5106,Action
632,1338432,Rebirth of Mothra,-0.7845,0.6249,Action
466,6947418,Gunda,0.2023,0.128,Action
1348,19106264,The Gamma People,-0.5719,-0.7506,Action
250,25214913,Born to Raise Hell,-0.1531,0.2023,Action
1155,28960943,Redline,0.816,0.7865,Action
2712,2862407,Double Team,-0.0772,-0.6705,Action
2195,3828478,Heroes of the East,-0.6908,0.0516,Action
2830,590462,Once Upon a Time in Mexico,-0.6908,-0.4019,Action
2343,5949759,Drug Wars: The Camarena Story,-0.0772,0.7512,Action
3208,17767428,Warning Sign,-0.5719,0.2732,Action
966,25445821,Tingu Rangadu,0.4019,0.8555,Action
2220,22951393,Wrong Side of Town,0.7579,0.6124,Action
2155,1434574,Gunbuster,0.3182,0.6249,Action
72,18473521,Legion,-0.296,-0.1027,Action
348,9120736,Heaven's Fire,0.3612,0.34,Action
496,68079,The African Queen,-0.3612,0.4215,Action
767,30883459,Little Treasure,-0.3818,-0.5423,Action
3014,10539751,Fighting Madam,-0.8934,-0.4767,Action
754,12555863,Heat,-0.5423,0.4939,Action
2297,34206301,The Terrorist,0.5106,-0.7579,Action
1249,22475851,Ip Man 2,0.1779,0.4767,Action
992,1278589,The Marine,-0.7845,0.5719,Action
2072,17796380,Code Name: Emerald,-0.1531,-0.4404,Action
485,8283351,King of the Carnival,0.2023,-0.4767,Action
2933,1623267,The Last Dragon,0.8519,-0.1779,Action
341,2398332,Sheena,-0.6705,-0.0516,Action
518,10640770,Siva,0.296,-0.891,Action
53,14261075,Chill Factor,-0.9538,-0.7717,Action
1689,9280225,Gang of Roses,-0.2023,-0.5267,Action
2507,14090644,Eagle Eye,-0.6705,0.9062,Action
384,256337,Charlie's Angels: Full Throttle,0.4404,0.5719,Action
2081,32013798,Main Aur Mera Haathi,0.4767,0.4767,Action
479,9381820,Samurai,-0.0258,0.5106,Action
2228,25567993,The Blood Bond,0.7003,0.7003,Action
1898,27032867,A Man Called Dagger,-0.5106,-0.5106,Action
2025,29790167,Mercenaries,-0.5994,-0.4019,Action
1403,3386834,Shalimar,-0.5267,0.6249,Action
558,33100959,Death Grip,0.6705,-0.5499,Action
1679,33002637,Mafia,-0.25,0.659,Action
2560,27507076,Alien vs Ninja,-0.4019,0.34,Action
1395,918886,All the Queen's Men,-0.5994,0.4215,Action
2719,34977675,Daruvu,0.3612,-0.3612,Action
56,6937139,Hot Rod,0.7717,0.8519,Action
2588,25233202,By Design,0.6369,0.3331,Action
2944,20568124,Paiyya,0.4019,0.5994,Action
2195,3828478,Heroes of the East,-0.6908,0.0516,Action
2163,9689938,Super Fuzz,0.25,-0.2263,Action
2318,3576991,"Gamera, Super Monster",-0.836,-0.8519,Action
1523,5991667,The Last Wagon,-0.6908,-0.296,Action
2260,25493367,Antham,-0.5574,0.2263,Action
2476,34393185,The No Mercy Man,-0.8625,-0.8625,Action
1438,30253701,Shapath,0.5859,0.4019,Action
1261,1261294,Road to Bali,-0.34,-0.4404,Action
576,8201004,Dick Tracy,-0.9442,-0.6597,Action
2619,6954675,Yamakinkarudu,0.4767,0.5267,Action
78,565879,The Incredibles,0.765,-0.872,Action
270,27361432,The Redhead and the Cowboy,-0.8625,0.7755,Action
1461,689980,Mercury Rising,-0.3182,0.891,Action
2600,5252749,Swashbuckler,-0.7717,0.2732,Action
2546,27956166,Revolver,-0.7845,-0.6249,Action
2987,5915965,Valathottu Thirinjal Nalamathe Veedu,-0.7845,0.4404,Action
2124,17110700,Crisis in the Kremlin,0.2732,0.2732,Action
1451,27748210,Danger Route,-0.7269,-0.1154,Action
358,19804280,The Bold Caballero,-0.7579,0.1027,Action
2231,4260440,The Starfighters,0.4019,0.4767,Action
3166,8269287,Forced Vengeance,0.6369,0.25,Action
1200,26332322,Zokkomon,-0.875,0.7096,Action
2587,19998694,Absolon,-0.4939,-0.4178,Action
1176,15804268,Final Approach,-0.6597,0.6249,Action
1070,2620748,Metro,0.6369,0.4939,Action
1910,11699620,Frenchie,-0.6705,-0.0258,Action
1737,23647555,Gunshy,-0.765,-0.836,Action
379,20942331,The Spiders,-0.296,0.0772,Action
2064,10068547,Thai Thief,-0.5994,-0.6946,Action
1390,362719,Superman,-0.5719,-0.2263,Action
1993,6964613,Lancelot and Guinevere,0.8479,-0.5719,Action
3194,10004330,Halls of Montezuma,-0.5994,-0.8415,Action
256,1843039,100 Rifles,-0.8442,-0.3182,Action
346,33064024,The Sword Identity,0.4404,0.7096,Action
398,2111519,Hitman,0.296,-0.8573,Action
2108,1847229,Hoodlum,-0.8513,-0.5574,Action
2236,16821802,Goliath Awaits,-0.6908,0.6369,Action
1146,16671731,Hanky Panky,-0.9313,0.4588,Action
2648,19134187,The President's Mistress,0.6908,0.3818,Action
1777,33876872,The Legion of Missing Men,-0.34,-0.7184,Action
2406,789903,Catwoman,0.743,0.7845,Action
1310,12207260,RocknRolla,-0.296,0.3612,Action
2005,2707573,Moon 44,0.3612,0.4939,Action
217,26693031,Sound of Boot,0.4019,-0.628,Action
3099,25972799,The Last Days of Pompeii,0.296,-0.5719,Action
2504,27766591,Ride or Die,-0.296,0.4201,Action
332,21419791,Huracán Ramírez,0.1779,-0.8807,Action
3055,29131916,Wanted,-0.5267,0.4019,Action
2745,1826578,The Art of War,0.8271,-0.4767,Action
1674,23093539,The Man from Hong Kong,0.34,-0.0258,Action
3100,851800,Air America,0.4215,0.4215,Action
2557,7690015,The Pretender 2001,0.4404,0.4404,Action
1497,21810192,Salt,-0.8591,0.128,Action
2732,19738730,The Colt,-0.7506,-0.6486,Action
2440,29486857,Bulbul Maina,0.8834,0.8834,Action
1959,24929092,Boogie,0.4215,0.6369,Action
2555,4851294,Mazhai,0.8885,0.25,Action
1479,13832721,Blinded,-0.2944,-0.6124,Action
2947,22352204,Crossworlds,0.1531,0.1027,Action
1335,1744593,Miss Congeniality 2: Armed and Fabulous,0.5859,-0.5719,Action
1963,5137345,Ninja III: The Domination,-0.7351,-0.2263,Action
2237,164698,Reign of Fire,0.3182,-0.6908,Action
2084,23086136,Men in War,-0.5574,-0.5106,Action
929,25649956,The Dirty Dozen: The Deadly Mission,-0.9393,-0.9393,Action
609,31034325,Dust of Angels,-0.6486,-0.6486,Action
1224,4015188,Captains Courageous,-0.2732,-0.128,Action
263,24353804,Justice League: Crisis on Two Earths,-0.4767,0.7184,Action
1656,1160412,Rambo III,0.4019,0.0772,Action
444,34954298,Lel Chamel,-0.7184,0.8201,Action
1207,12000999,The Brave One,-0.4588,-0.7845,Action
861,1745296,XXX: State of the Union / XXX: The Next Level,-0.8689,0.5719,Action
2873,27849952,Vengeance,-0.6597,-0.9019,Action
1418,17148591,Night Train,-0.5574,-0.5719,Action
2392,4562945,Postal,-0.8545,-0.4939,Action
1970,8583537,Al Filo de la Ley,-0.4588,-0.5106,Action
1702,26182472,Hi-Riders,-0.8225,-0.8689,Action
2843,28648635,X-Men: First Class,-0.5994,0.296,Action
2690,724449,Brotherhood of Death,-0.4019,-0.9371,Action
265,6446044,For Your Eyes Only,0.1779,0.4215,Action
2698,25893588,Dum,-0.4767,0.7906,Action
2125,25437854,The Dirty Outlaws,-0.4404,0.2732,Action
3128,33195656,Anyay Abichar,0.3182,0.3182,Action
3126,61481,Captain Blood,-0.128,0.8658,Action
1301,28344566,How Sleep the Brave,-0.3818,0.0387,Action
864,8092271,Rescue Heroes: The Movie,-0.5994,0.9337,Action
1395,918886,All the Queen's Men,-0.5994,0.4215,Action
2921,2195077,The New Adventures of Tarzan,-0.2023,0.7003,Action
2916,1598127,Rooster Cogburn,-0.296,-0.7227,Action
715,13378321,Reform School Girls,-0.5106,0.6115,Action
2550,18824395,Vamshi,-0.5106,0.5574,Action
988,10798203,18 Bronzemen,-0.4588,-0.9001,Action
2792,1252955,Telefon,0.1779,-0.6597,Action
1590,16681204,First World,0.25,0.3818,Action
3232,29294207,The Sitter,-0.4767,0.3612,Action
1044,35542282,Raiders of the Lost Ark: The Adaptation,0.4939,0.4939,Action
2438,20904334,Heeralaal Pannalaal,0.7003,0.7264,Action
2804,9743496,Jungle Jim in the Forbidden Land,0.2263,0.2263,Action
677,5067058,Geumganghan,0.5574,-0.6597,Action
1995,2450545,The Cave,-0.7351,-0.5859,Action
157,35313233,The Tomb,-0.5423,-0.4215,Action
251,35826458,Penitentiary 2,0.4767,-0.8885,Action
1540,5235481,The Phantom,-0.9062,0.0857,Action
1584,29472242,Naaraaz,0.8834,0.8834,Action
2343,5949759,Drug Wars: The Camarena Story,-0.0772,0.7512,Action
1797,8602490,The Devil Makes Three,-0.3612,0.3182,Action
1935,10311825,Good Guys Wear Black,-0.2732,0.4404,Action
1604,3903364,Howl's Moving Castle,0.3182,-0.5994,Action
1005,1341543,Dolemite,-0.5106,-0.6705,Action
1370,25677728,Shank,-0.4019,-0.8126,Action
1052,9019882,Casino Royale,0.1779,-0.1531,Action
2362,612052,Spider-Man 2,-0.3612,0.5423,Action
1498,32025117,Taqdeer Ka Badshah,0.3182,0.3182,Action
1657,30928597,Shima,-0.2263,-0.7269,Action
742,3527643,Prayer of the Rollerboys,-0.9524,-0.6597,Action
910,22353314,Hoodlum & Son,0.296,-0.4086,Action
1790,3701117,Foolproof,-0.128,-0.7096,Action
810,10603679,Masked Avengers,-0.959,-0.6249,Action
326,15022200,Aafat,-0.5267,-0.5267,Action
3223,5978945,Beast Cops,0.4767,0.2263,Action
653,23691191,Twilight in the Sierras,-0.3612,0.5106,Action
601,13694717,Dayton's Devils,-0.4939,0.2023,Action
2366,949958,Come Drink with Me,0.5106,-0.4767,Action
1039,18792792,Deadly Target,-0.4404,-0.5994,Action
3058,5458357,PTU,-0.7579,-0.8979,Action
645,35485633,Sengottai,-0.8271,-0.8225,Action
2944,20568124,Paiyya,0.4019,0.5994,Action
1579,29650834,Safe House,-0.5267,-0.34,Action
352,31486572,Sahi Dhandhe Galat Bande,0.7184,-0.8805,Action
2411,6076402,Robot Jox,-0.6705,0.2263,Action
2940,10556722,Astro Boy,-0.4588,-0.3818,Action
1551,7186157,The City of Violence,-0.34,0.4015,Action
1028,25727077,Gunslinger's Revenge,0.6249,-0.5859,Action
1436,12442942,The Last Man,-0.5413,-0.4404,Action
1877,8359558,Retribution,-0.6908,-0.8807,Action
2188,11701,Full Metal Jacket,-0.5994,0.5994,Action
2811,24426132,More Dead Than Alive,-0.8834,-0.8225,Action
3220,67422,Executive Decision,-0.4588,-0.1531,Action
1315,3448877,Moon Zero Two,0.4767,0.3612,Action
475,27919005,Venghai,0.5256,0.6908,Action
2680,33324775,Sector 7,-0.25,-0.4871,Action
3056,20766014,Stiletto,-0.25,-0.0772,Action
1798,24652213,The Lost Continent,-0.3182,-0.6908,Action
208,451817,Taxi,0.7184,0.2023,Action
2152,2294895,The Border,0.4215,-0.4588,Action
2777,1463386,White Sun of the Desert,-0.7269,0.7096,Action
1732,3785749,The Search for Animal Chin,0.5719,0.1779,Action
621,2967223,Morituri,-0.5994,-0.25,Action
1167,18549628,Maria Mariana II,0.7184,-0.4019,Action
1834,10597194,Five Element Ninjas,-0.5859,-0.7184,Action
2617,73371,The Black Pirate,-0.4767,0.765,Action
1196,10640635,Mad Monkey Kung Fu,-0.8519,-0.6956,Action
2872,25446832,Shivudu Shivudu Shivudu,0.311,0.6486,Action
2460,33322373,Dragon Crusaders,-0.4404,-0.7906,Action
1876,6184001,Partners,-0.6124,-0.8047,Action
1927,8637627,Full Metal Yakuza,-0.802,-0.2732,Action
2991,15792241,Free Money,-0.8126,-0.5106,Action
564,1596524,Heartbreak Ridge,0.0772,-0.6486,Action
2384,10193,Enter the Dragon,0.7351,-0.6705,Action
1870,34541698,Untitled Chronicles of Riddick Sequel,-0.8347,-0.8519,Action
1707,5696226,The Water Margin,-0.1027,0.128,Action
1496,12685218,Lightning Jack,-0.6013,0.4215,Action
2468,6032729,Death Trance,-0.6369,-0.2263,Action
1562,10932903,Ninja Hunter,-0.7096,0.3612,Action
3059,32098506,Karm Yudh,0.3182,0.3182,Action
2566,2229321,Thunder Bay,0.6369,0.5574,Action
1579,29650834,Safe House,-0.5267,-0.34,Action
1162,18988278,A Case of Murder,-0.836,-0.7579,Action
600,4871578,Five Fingers of Death,0.6597,-0.4767,Action
204,32724391,Second Show,-0.3612,0.6486,Action
2501,10988036,Ambitious Kung Fu Girl,-0.2732,0.9367,Action
809,600194,Cool World,-0.5994,-0.4215,Action
1142,27067663,Kuch Tum Kaho Kuch Hum Kahein,-0.128,-0.743,Action
1504,2056466,The Animal,0.6369,0.5994,Action
2633,24458416,Dollman,-0.5719,0.7506,Action
1167,18549628,Maria Mariana II,0.7184,-0.4019,Action
1998,28069333,Gundagardi,-0.5994,-0.8225,Action
1618,4922371,Double Whammy,-0.8885,0.0516,Action
636,10800668,Heroes Two,-0.1531,-0.6597,Action
1489,5620636,The Violent Men,-0.3919,0.8779,Action
1638,6653265,Delta Force 2: The Colombian Connection,0.5267,-0.5994,Action
1117,1704120,Blastfighter,-0.8316,-0.5106,Action
2351,24397761,Mahamantri Timmarusu,0.0258,0.296,Action
1010,21436715,Walking the Edge,-0.8316,-0.4939,Action
2280,4440305,Highlander II: The Quickening,0.0935,0.5106,Action
459,3036370,Shadow Man,-0.4767,0.656,Action
1435,32208443,The Devil's Rock,-0.7184,0.3612,Action
547,12812600,Nazi Agent,-0.34,0.4215,Action
2915,168583,Salvador,0.0772,0.4096,Action
606,6449273,Who is Cletis Tout?,-0.2263,0.7778,Action
1774,16948290,Max Manus,-0.7506,-0.9169,Action
67,4471231,In Search of Love,-0.6908,0.2023,Action
1105,2194169,Teenage Mutant Ninja Turtles III,-0.2023,0.0772,Action
2184,4372392,Imperium: Augustus,-0.5994,0.0129,Action
458,15693672,Boots Malone,0.7003,-0.2732,Action
2949,23637837,Angaaray,-0.6486,-0.5574,Action
1762,28793535,Josh,0.4767,-0.5267,Action
1224,4015188,Captains Courageous,-0.2732,-0.128,Action
260,5429326,Naked Killer,-0.5719,-0.6249,Action
2273,2465292,Avenging Angelo,-0.8442,0.3818,Action
2072,17796380,Code Name: Emerald,-0.1531,-0.4404,Action
1410,1666594,Billy Budd,-0.2023,-0.7876,Action
2985,19094684,The Boss,-0.5423,-0.7351,Action
635,5512355,Tarzan and the Lost City,-0.6124,0.1531,Action
2675,12706080,Along Came Jones,0.2023,-0.1531,Action
274,28085067,Fast Five,-0.6908,-0.6486,Action
423,5020192,An Evening in Paris,0.8442,0.2023,Action
