,movie_id,name,first_score,last_score
0,23890098,Taxi Blues,0.0083,0.0083
1,31186339,The Hunger Games,0.0,0.0
2,20663735,Narasimham,-0.8271,0.6705
3,2231378,The Lemon Drop Kid,-0.4215,0.802
4,595909,A Cry in the Dark,0.4019,-0.5106
5,5272176,End Game,0.0,-0.6486
6,1952976,Dark Water,0.0,-0.6369
7,24225279,Sing,0.0,0.8957
8,2462689,Meet John Doe,-0.9313,0.0
9,20532852,Destination Meatball,0.0,-0.3182
10,15401493,Husband for Hire,0.7717,0.836
11,18188932,Up and Down,-0.872,-0.6369
12,2940516,Ghost In The Noonday Sun,-0.3182,0.0
13,1335380,Exodus,0.2732,-0.3818
14,1480747,House Party 2,-0.5994,0.7906
15,24448645,Forest of the Damned 2,0.6597,-0.7906
16,15072401,Charlie Chan's Secret,-0.6597,-0.2023
17,4018288,The Biggest Fan,0.7906,0.7783
18,4596602,Ashes to Ashes,0.0,-0.2263
19,15224586,Green Dragon,-0.2732,0.3182
20,15585766,The Rats of Tobruk,0.5719,-0.6908
21,1760737,Red's Dream,-0.4215,0.0
22,29062594,A la salida nos vemos,-0.1027,0.0
23,29326153,Class of '61,-0.5994,-0.2732
24,9252321,"Come Back, Africa",0.0,-0.92
25,8388648,Nee Sneham,0.2023,0.4404
26,10644072,Bhagwan Dada,-0.6908,0.0
27,13455076,A Merry Mixup,0.34,0.0
28,33269085,Kehtaa Hai Dil Baar Baar,-0.6249,0.4019
29,2254491,Mr. & Mrs. '55,0.0516,0.0
30,447194,Samson and Delilah,0.4019,-0.3612
31,24165951,Getting Even,-0.5106,-0.6705
32,18549958,"Love, Mary",-0.8271,0.5106
33,12978934,The Deep End of the Ocean,-0.802,0.4118
34,8471210,Pieces,0.25,-0.5423
35,1925869,River of No Return,-0.7096,0.0
36,10799612,Amici miei,0.3818,-0.8442
37,3150865,Yankee Doodle Daffy,0.34,0.5574
38,20591333,The Good Life,0.0,0.4019
39,28238240,Mickey's Big Game Hunt,0.0,0.0
40,5414895,Red Cliff,0.4767,0.6249
41,17124781,"The Good, the Bad, the Weird",-0.3182,-0.34
42,5425205,Eastern Promises,0.0,0.6808
43,28207941,The Dancing Fool,0.0,0.743
44,14330027,To Fili Tis Zois,0.5106,0.8519
45,4356664,No Entry,0.6489,0.0772
46,19174305,Tahaan,0.0,0.4404
47,33417831,Men In The City,0.0,-0.6124
48,2408359,Bikini Beach,0.0,-0.25
49,1838882,The Storm Riders,-0.6597,-0.8957
50,25755313,Against Her Will: An Incident in Baltimore,-0.2023,-0.2023
51,10016997,Milk and Honey,0.0,0.0
52,8153846,La Cité de la peur,-0.91,-0.3182
53,24486071,Cheap Kisses,0.0,0.3612
54,4466226,The Saddest Music in the World,-0.4404,-0.6597
55,27975390,A Slumdog Millionaire Goes Dancing,0.0,0.0
56,6167400,Twist,0.0,-0.9313
57,17711304,Rendezvous,0.0,0.0
58,18392317,Mysterious Mose,-0.1779,0.6369
