,movie_id,name,first_score,last_score,genre
2373,5083422,Battle in Outer Space,-0.6486,-0.1779,Action
1975,585824,The Getaway,-0.3182,0.5719,Action
1024,11770563,Custer of the West,0.0772,-0.4588,Action
2876,1138675,Alexander,0.6249,0.3182,Action
327,1343165,The Alamo,-0.5267,0.5106,Action
2137,31001536,Gun,-0.1531,0.5267,Action
3109,10776050,Born Invincible,0.4939,-0.3291,Action
1477,16718585,Armored,0.6124,0.3818,Action
2626,35874076,Taken 2,-0.9062,0.4829,Action
639,9316781,The Jigsaw Man,-0.128,0.6369,Action
372,25001260,Transformers: Dark of the Moon,-0.0772,0.34,Action
1577,23566188,Golgo 13: The Professional,-0.7184,-0.2023,Action
1312,9459814,Jet Pilot,-0.4404,-0.6597,Action
2739,26031336,Bulldog Drummond Comes Back,0.2144,0.2144,Action
142,2150615,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,-0.4404,-0.4588,Action
675,4704156,Curse of the Sacred Sword,0.4939,-0.1027,Action
1597,22766241,South Sea Woman,-0.9001,0.7184,Action
2632,28493148,The Border Post,-0.5719,-0.4019,Action
2484,22672266,The Mysterious Lady,0.765,0.1779,Action
1355,2259649,Maniac Cop,-0.7906,-0.5859,Action
522,1068520,The Island,-0.3182,0.5574,Action
3107,26695603,Kottayam Kunjachan,0.4767,-0.3716,Action
1683,957991,A Walk in the Sun,-0.128,0.4588,Action
1712,1131021,Elektra,-0.802,0.6124,Action
1852,28066621,The Thousand Plane Raid,-0.5106,0.8555,Action
1141,2695729,Police Story 4: First Strike,-0.4767,0.6124,Action
1063,26166420,The Love War,-0.765,-0.7783,Action
2637,9387059,Hard to Die,-0.9216,-0.9231,Action
440,3260698,TMNT,0.6249,0.2732,Action
2755,17645471,The Cross of Lorraine,-0.5994,-0.0056,Action
1681,5955514,Fled,-0.9201,0.0772,Action
1082,15901584,New Cutie Honey,0.8689,-0.5106,Action
2776,9513043,You Don't Mess with the Zohan,0.7461,0.3612,Action
1976,3610610,The Lawless Frontier,-0.8957,0.5719,Action
753,2782511,Aitbaar,0.4588,-0.8126,Action
2545,21962416,Messenger of Death,0.34,-0.8481,Action
770,32496091,Masters,0.8074,-0.3818,Action
2963,21843425,Sucker Punch,-0.9153,0.7717,Action
2197,3735041,Coast Guard,0.0258,-0.5423,Action
2898,4134701,"Objective, Burma!",-0.1779,0.1779,Action
2145,2952825,Ultimate Avengers,-0.5574,0.0258,Action
2378,5644502,Pink Cadillac,0.128,-0.8402,Action
1987,2551631,Underclassman,-0.34,0.2732,Action
3214,1901270,Dirigible,0.5859,0.7864,Action
1028,25727077,Gunslinger's Revenge,0.6249,-0.5859,Action
831,12807520,The Stone Killer,-0.4404,-0.7003,Action
870,11684047,Police Force: An Inside Story,-0.3818,0.6486,Action
1653,12594839,Primal,0.4767,-0.5803,Action
971,22906962,Go for It,0.5859,-0.8054,Action
2030,33434379,Marrying the Mafia IV,-0.0516,0.4404,Action
778,2906058,Black Dog,-0.8555,-0.4678,Action
2610,30607289,Scapegoat,-0.0772,0.7783,Action
2573,26640913,Shoot Out,-0.5106,0.3818,Action
2698,25893588,Dum,-0.4767,0.7906,Action
2817,1979808,Tekken: The Motion Picture,-0.8225,-0.5187,Action
678,904125,Caveman,-0.7506,0.3818,Action
306,2691895,R-Point,-0.7579,0.1027,Action
2266,5670753,Lone Wolf and Cub: Sword of Vengeance,-0.4588,-0.5499,Action
152,29850091,Numbri Aadmi,0.4404,0.4404,Action
1109,6339198,Hot Boyz,0.9169,0.8402,Action
1967,8279500,The Phantom Rider,0.2732,-0.6705,Action
1614,20889324,Revelation,0.1531,0.4404,Action
3021,101899,Deliverance,0.7783,-0.7579,Action
1097,4098741,Salt and Pepper,-0.3612,-0.5994,Action
1103,19080730,"Farewell, Kamen Rider Den-O: Final Countdown",-0.3818,0.6705,Action
1381,181229,The Great Escape,-0.9171,0.4588,Action
